"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bosnia and Herzegovina","BIH","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.25399256","8.60074425","9.32255745","11.58645248","11.32033443","10.81009102","10.95802307","11.32833004","10.9186964","12.523983","12.60088634","13.38013935","13.88334846","14.79470253","14.43189335","14.9841013","15.62966251","15.4665451","15.14290047","15.36792564","14.88035202","16.0575676","14.565588","14.42121029","","",
"Belarus","BLR","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1293211","10.04257679","9.32076073","10.07395458","9.99574471","10.05169773","8.44287395","8.12453842","5.80340672","6.73101664","8.68532658","7.66490793","8.85453033","8.74394131","8.68483829","8.82638741","10.30651379","10.1955843","10.30541611","11.04388905","11.93542862","13.27325821","11.70340729","11.72658348","","",
"Belize","BLZ","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.84757805","6.8270483","7.51454115","7.13568306","7.88192844","8.33217239","9.33244514","10.76810741","13.38402843","12.48273087","12.76388073","12.69621658","12.93638515","12.2732029","12.23422432","11.34556484","12.11457348","11.6249609","12.2098484","12.07653427","11.43843937","13.61467361","11.44796753","10.87746048","","",
"Bermuda","BMU","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.29598331","8.18012047","7.8159523","8.61168194","7.83916283","8.29879856","8.75200176","8.50024891","7.64689112","9.51188183","9.7059021","8.54341412","8.31437492","9.20546436","8.95201874","9.67435074","11.07505703","11.51042938","12.72148514","13.54663086","15.77755356","16.9197998","12.82034683","12.02977371","","",
"Brazil","BRA","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.67673969","8.826087","8.28490639","8.50011539","8.73705578","7.98956394","8.32019424","8.63562584","8.77957535","9.14586353","9.05208874","8.80345917","8.53389931","8.92691326","8.92875195","8.34357262","8.67635441","8.92413235","8.80304146","9.10027695","9.03431797","10.66790676","9.80471611","9.47691154","","",
"Barbados","BRB","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.27690411","12.37926769","9.33345699","11.64061165","13.969944","12.25700188","12.22062492","10.52801514","11.27821255","11.655159","10.72880936","10.61124134","12.40838051","10.8070507","9.90992641","9.07039738","9.28489876","9.06172657","9.87558651","10.63657379","10.96432972","12.42657375","8.74103642","7.80843592","","",
"Brunei Darussalam","BRN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.72010231","5.97160959","5.1140027","6.98940802","6.39551544","6.43293381","5.81376076","5.77389574","6.20709467","6.21688652","5.77683496","5.74302435","5.44353485","5.12074184","5.20392704","5.86489248","6.15329981","5.87075901","7.14021063","6.48993301","6.94822884","6.82148027","6.18097925","7.02334976","","",
"Bhutan","BTN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.66199493","6.54652882","7.87970304","7.6382122","9.08555698","6.72386217","6.82967377","7.46379232","6.02861881","6.19368172","5.64934969","6.14636755","6.45828485","7.09804106","7.72409058","9.26426601","7.9599781","7.58420563","7.70324659","10.23985958","10.29558849","6.32587957","6.66407251","10.20342922","","",
"Botswana","BWA","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.17829704","8.17829704","8.17829704","8.17829704","8.17829704","8.17829704","8.17829704","8.17829704","7.64480686","6.25206232","8.06093502","9.63225174","10.68447876","11.93448162","10.95858192","10.41588783","11.21129513","14.31547451","11.54210281","12.00606537","11.66152477","14.61013889","14.61013889","14.61013889","","",
"Central African Republic","CAF","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.02161694","10.7257576","8.60752106","12.54862976","11.27606392","6.40039492","9.17792225","9.87465858","5.28349304","4.57543802","3.34147334","2.93255639","4.22331715","7.34515285","3.94678593","3.26452565","4.94713306","5.25997734","3.91087461","4.84231758","4.86442041","6.42073488","8.47619724","8.47619724","","",
"Canada","CAN","Domestic general government health expenditure (% of general government expenditure)","SH.XPD.GHED.GE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.8156271","15.27647972","15.88256645","16.36354446","16.9260788","17.13103867","16.78170395","17.06818199","17.28190994","17.32548904","17.37709808","17.58960915","18.17380142","18.53056145","18.96989441","19.06813622","18.96101761","18.80901527","18.70181847","18.92759895","18.36311722","19.79677773","19.36143303","18.68492126","17.75659752","",
